frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,2,[2175.562255859375 1160.281005859375 2819.600341796875 1733.237548828125],[2407.14501953125 1551.4888916015625 2576.4580078125 1638.708251953125],0.601301134,NW51TSU,0.109490714
0,3,[758.107666015625 1368.2216796875 1452.546630859375 1986.1424560546875],[974.843505859375 1753.38330078125 1199.61572265625 1851.2119140625],0.566929162,NA13NPU,0.321401651
1,2,[2175.120661489632 1164.6697785841602 2818.305537350081 1736.0082171959039],[2411.28076171875 1549.0323486328125 2584.846435546875 1642.2110595703125],0.58766675,NO51VSU,0.030402287
2,3,[750.2817758167623 1378.5604726943716 1447.0199587610457 2002.6145608238862],[963.908203125 1782.290283203125 1187.048095703125 1872.455078125],0.482261956,NA13NPU,0.196924173
2,2,[2175.060930667178 1169.5186810306136 2818.361607621858 1742.3055216472576],[2410.064208984375 1563.0289306640625 2585.4462890625 1653.6104736328125],0.443589151,NU51VSU,0.396852615
3,3,[741.1093146143512 1386.099004073427 1438.5242661884258 2012.1429743195215],[956.3245239257812 1785.894287109375 1184.3193359375 1879.58935546875],0.499800175,MA13NRU,0.183500568
4,2,[2175.1245423740584 1177.0923860850623 2822.700575877978 1753.4286176465992],[2416.5966796875 1575.3438720703125 2587.6669921875 1654.04443359375],0.57133013,HL51NSU,0.169021518
6,3,[728.8315229216912 1404.3791844952484 1428.466760068409 2037.2740967466548],[942.6060791015625 1802.4078369140625 1184.63232421875 1902.5452880859375],0.492838383,NA13NRU,0.17303829
8,3,[721.4508136662521 1415.4721584360925 1430.0254918543596 2054.2574944877733],[954.481201171875 1824.6544189453125 1171.98779296875 1918.4886474609375],0.539391994,NA13NRU,0.429334543
9,2,[2175.8900291376394 1201.3513523583968 2832.8672330863365 1786.6845053052477],[2420.986328125 1596.531982421875 2593.7939453125 1690.515869140625],0.636472702,ML51VSU,0.476142424
9,3,[716.1188898125008 1422.9182455659839 1427.4688466825553 2064.965127288685],[935.3754272460938 1832.400146484375 1177.8798828125 1928.1412353515625],0.578481197,NA13NRU,0.431340512
10,3,[713.0638920052463 1427.3836981795976 1427.5855608944037 2071.9614290248537],[923.6050415039062 1831.7845458984375 1181.89794921875 1942.963623046875],0.564912021,NA13NRU,0.285400259
11,3,[706.4114016376282 1434.6397438244633 1424.6874296038466 2081.439681563976],[917.3567504882812 1840.018310546875 1168.37451171875 1944.036376953125],0.504995644,NA13NRU,0.243562265
12,3,[700.2262504968826 1441.7524821974841 1421.451094478684 2091.2740914869387],[925.744873046875 1853.3126220703125 1158.483154296875 1958.677001953125],0.461299956,MA13NRU,0.620119684
13,3,[697.9006898135367 1447.0321338851372 1421.7930457414977 2098.9122393243642],[925.9616088867188 1860.333984375 1170.808837890625 1966.88671875],0.557128668,MA13NRU,0.178134087
14,3,[692.4056044158548 1452.9963385720316 1418.2629117035272 2107.0403192661784],[905.5953369140625 1874.878662109375 1173.856201171875 1974.228759765625],0.355865866,NA13NRU,0.246879366
17,2,[2178.368144375324 1236.7526051130135 2850.300220548398 1833.979181960016],[2430.6962890625 1641.233642578125 2614.86669921875 1736.07568359375],0.657473564,HD51VSU,0.298876067
18,2,[2181.53610708247 1244.8449501035293 2858.4285288020574 1843.43750470036],[2434.96875 1658.2445068359375 2616.3369140625 1748.3082275390625],0.625939131,ND51YSU,0.247020681
18,3,[673.7067633546555 1483.5257137910626 1406.4499031478301 2143.305646444078],[903.7554931640625 1901.3785400390625 1157.5286865234375 2006.7509765625],0.572817087,NA13NRU,0.799590268
19,3,[670.1025652643578 1488.5366525944103 1402.3546460935422 2147.712474398589],[917.9881591796875 1911.1651611328125 1148.39404296875 2009.7535400390625],0.638970137,NA13NRU,0.330918394
21,2,[2178.330846021013 1252.859632553241 2863.2392106815814 1863.0455102367466],[2435.07080078125 1681.083251953125 2619.674072265625 1763.300537109375],0.645804942,CD51VSU,0.171526017
21,3,[662.1860454352602 1500.8896815557455 1398.1732245668125 2156.783431372783],[884.347412109375 1924.3209228515625 1152.8433837890625 2037.9884033203125],0.619988859,NA13NRU,0.295930608
22,3,[658.6556001911424 1505.6327504820763 1397.1760499907548 2158.488731797001],[872.0458374023438 1923.385009765625 1137.302001953125 2037.912353515625],0.646121681,NA13NRU,0.330087638
23,3,[654.5422476856943 1510.3496648293258 1395.4902378963006 2159.2395684667135],[910.2366943359375 1941.67529296875 1144.842041015625 2045.092529296875],0.656570554,NA13MRU,0.666639774
