frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
702,593,[758.3636 367.6364 909.0909 507.3636],[810.428 454.2877 860.2191 480.6664],0,0,0
703,593,[758.5455 368.4545 909.6364 508.5455],[810.791 455.3196 860.7444 481.8726],0,0,0
704,593,[758.7273 369.2727 910.1818 509.7273],[811.1541 456.3514 861.2696 483.0789],0,0,0
705,593,[758.9091 370.0909 910.7273 510.9091],[811.5171 457.3833 861.7949 484.2851],0,0,0
706,593,[759.0909 370.9091 911.2727 512.0909],[811.8802 458.4151 862.3201 485.4913],0,0,0
707,593,[759.2727 371.7273 911.8182 513.2727],[812.2432 459.447 862.8454 486.6976],0,0,0
708,593,[759.4545 372.5455 912.3636 514.4545],[812.6063 460.4788 863.3706 487.9038],0,0,0
709,593,[759.6364 373.3636 912.9091 515.6364],[812.9693 461.5107 863.8959 489.11],0,0,0
710,593,[759.8182 374.1818 913.4545 516.8182],[813.3324 462.5425 864.4212 490.3162],0,0,0
711,593,[760.0 375.0 914.0 518.0],[813.6954 463.5743 864.9464 491.5225],0.5625227093696594,IJ06EPD,0.23452963365866708
712,593,[760.2391 375.9783 914.587 519.413],[814.0099 464.8402 865.4238 492.8182],0,0,0
713,593,[760.4783 376.9565 915.1739 520.8261],[814.3244 466.106 865.9011 494.114],0,0,0
714,593,[760.7174 377.9348 915.7609 522.2391],[814.6388 467.3719 866.3785 495.4098],0,0,0
715,593,[760.9565 378.913 916.3478 523.6522],[814.9533 468.6378 866.8559 496.7056],0,0,0
716,593,[761.1957 379.8913 916.9348 525.0652],[815.2678 469.9036 867.3332 498.0014],0,0,0
717,593,[761.4348 380.8696 917.5217 526.4783],[815.5822 471.1695 867.8106 499.2972],0,0,0
718,593,[761.6739 381.8478 918.1087 527.8913],[815.8967 472.4353 868.2879 500.593],0,0,0
719,593,[761.913 382.8261 918.6957 529.3043],[816.2112 473.7012 868.7653 501.8888],0,0,0
720,593,[762.1522 383.8043 919.2826 530.7174],[816.5257 474.967 869.2427 503.1845],0,0,0
721,593,[762.3913 384.7826 919.8696 532.1304],[816.8401 476.2329 869.72 504.4803],0,0,0
722,593,[762.6304 385.7609 920.4565 533.5435],[817.1546 477.4987 870.1974 505.7761],0,0,0
723,593,[762.8696 386.7391 921.0435 534.9565],[817.4691 478.7646 870.6747 507.0719],0,0,0
724,593,[763.1087 387.7174 921.6304 536.3696],[817.7835 480.0304 871.1521 508.3677],0,0,0
725,593,[763.3478 388.6957 922.2174 537.7826],[818.098 481.2963 871.6295 509.6635],0,0,0
726,593,[763.587 389.6739 922.8043 539.1957],[818.4125 482.5621 872.1068 510.9593],0,0,0
727,593,[763.8261 390.6522 923.3913 540.6087],[818.7269 483.828 872.5842 512.2551],0,0,0
728,593,[764.0652 391.6304 923.9783 542.0217],[819.0414 485.0938 873.0616 513.5508],0,0,0
729,593,[764.3043 392.6087 924.5652 543.4348],[819.3559 486.3597 873.5389 514.8466],0,0,0
730,593,[764.5435 393.587 925.1522 544.8478],[819.6703 487.6256 874.0163 516.1424],0,0,0
731,593,[764.7826 394.5652 925.7391 546.2609],[819.9848 488.8914 874.4936 517.4382],0,0,0
